0.710, 24 23 22 42 13 43 44 45 17 46 18 47 19 48 30 31 32 33 34 6 35 3 4 5 9 38 39 10 1 40 11 2 41 12 14 15 16 29 28 27 26 25 50 21 37 8 49 20 36 7 , 
0.720, 25 24 23 22 44 45 17 46 18 47 19 48 20 49 13 30 31 32 33 5 3 43 14 4 9 38 39 10 1 40 11 2 41 12 15 16 29 28 27 26 50 21 36 7 35 6 8 37 34 , 
0.726, 27 26 25 24 22 45 17 46 18 47 19 48 20 49 13 30 31 32 33 3 43 14 4 9 38 39 10 1 40 11 2 41 12 44 15 29 16 28 50 21 36 7 35 6 8 37 34 5 , 
0.737, 28 27 26 25 24 22 18 17 46 19 48 36 7 20 49 13 30 31 43 14 3 32 9 38 39 10 1 40 11 2 41 12 44 15 29 45 16 37 8 50 21 35 6 34 5 33 4 , 
0.739, 44 15 27 26 25 24 22 18 46 17 19 48 36 7 20 49 13 43 14 3 32 9 38 39 10 1 30 40 11 2 31 41 12 29 45 16 28 37 8 50 35 6 34 5 33 4 , 
0.739, 16 28 44 15 27 26 25 24 22 19 18 17 46 36 7 13 43 14 6 35 9 38 39 10 1 30 40 11 2 31 41 12 29 45 49 20 37 8 50 34 5 33 4 32 3 , 
0.745, 29 28 44 15 27 26 25 24 22 19 18 16 45 17 46 34 5 6 35 9 38 39 10 1 30 40 11 41 12 43 14 49 20 8 37 50 32 3 31 2 4 33 13 7 , 
0.746, 29 45 16 28 44 15 27 26 25 24 22 19 18 17 34 5 6 35 38 9 39 10 40 11 33 4 43 14 49 20 8 37 50 32 3 31 2 30 1 13 12 7 46 , 
0.751, 29 45 16 28 44 15 27 26 25 24 22 19 18 34 5 35 6 38 39 10 11 40 14 43 33 4 49 20 8 37 50 32 3 31 2 30 1 13 12 7 17 46 , 
0.749, 35 29 45 16 28 27 26 25 24 22 19 18 38 39 10 49 20 40 11 44 15 6 32 3 33 4 34 5 8 37 50 31 2 30 1 13 12 7 14 17 46 , 
0.750, 38 6 35 29 28 27 26 25 24 22 49 34 5 39 10 40 11 44 15 32 45 16 33 4 8 37 50 31 2 30 1 13 12 7 14 17 46 18 19 20 , 
0.749, 40 10 39 38 29 28 27 26 25 24 8 37 34 5 11 44 15 32 45 16 33 4 46 17 50 18 31 2 13 12 7 1 14 19 20 49 35 6 22 , 
0.751, 40 10 39 38 6 35 29 28 27 8 37 34 5 31 2 44 15 32 45 16 50 11 13 12 33 4 7 1 14 17 18 19 20 49 22 24 25 26 , 
0.750, 31 11 40 10 39 38 29 28 13 5 34 44 15 2 19 32 45 16 50 37 8 12 33 4 7 1 14 17 18 20 49 35 6 22 24 26 27 , 
0.746, 44 2 31 11 40 10 39 12 13 35 6 5 34 15 32 45 16 8 37 50 33 4 7 1 14 17 18 19 20 49 24 26 27 28 29 38 , 
0.751, 15 44 2 31 11 40 35 6 5 34 33 4 19 32 45 16 8 37 50 13 12 7 1 14 18 20 49 24 26 27 28 29 38 39 10 , 
0.754, 32 15 2 31 11 13 35 6 5 34 33 4 19 45 16 8 37 50 12 7 1 14 18 20 49 24 26 27 28 29 38 39 10 40 , 
