0.82, empty_set, 
0.82, 10 , 
0.93, 8 10 , 
0.92, 1 8 10 , 
0.89, 6 1 8 10 , 
0.86, 2 6 1 8 10 , 
0.83, 4 2 6 1 8 10 , 
0.79, 9 4 2 6 1 8 10 , 
0.77, 5 9 4 2 6 1 8 10 , 
0.75, 3 5 9 4 2 6 1 8 10 , 
0.73, 7 3 5 9 4 2 6 1 8 10 , 
